win = 164, tie = 26, loss = 11
win = 165, tie = 26, loss = 11
win = 166, tie = 26, loss = 11
win = 167, tie = 26, loss = 11
win = 168, tie = 26, loss = 11
win = 168, tie = 27, loss = 11
win = 169, tie = 27, loss = 11
win = 170, tie = 27, loss = 11
win = 170, tie = 28, loss = 11
win = 171, tie = 28, loss = 11
win = 172, tie = 28, loss = 11
win = 173, tie = 28, loss = 11
win = 174, tie = 28, loss = 11
win = 175, tie = 28, loss = 11
win = 176, tie = 28, loss = 11
win = 177, tie = 28, loss = 11
win = 178, tie = 28, loss = 11
win = 179, tie = 28, loss = 11
win = 179, tie = 29, loss = 11
win = 180, tie = 29, loss = 11
win = 181, tie = 29, loss = 11
win = 182, tie = 29, loss = 11
win = 183, tie = 29, loss = 11
win = 184, tie = 29, loss = 11
win = 184, tie = 30, loss = 11
win = 185, tie = 30, loss = 11
win = 186, tie = 30, loss = 11
win = 186, tie = 31, loss = 11
win = 187, tie = 31, loss = 11
win = 187, tie = 32, loss = 11
win = 188, tie = 32, loss = 11
win = 189, tie = 32, loss = 11
win = 189, tie = 32, loss = 12
win = 190, tie = 32, loss = 12
win = 190, tie = 32, loss = 13
win = 191, tie = 32, loss = 13
win = 191, tie = 32, loss = 14
win = 192, tie = 32, loss = 14
win = 193, tie = 32, loss = 14
win = 194, tie = 32, loss = 14
win = 195, tie = 32, loss = 14
win = 196, tie = 32, loss = 14
win = 197, tie = 32, loss = 14
win = 198, tie = 32, loss = 14
win = 199, tie = 32, loss = 14
win = 199, tie = 32, loss = 15
win = 200, tie = 32, loss = 15
win = 201, tie = 32, loss = 15
win = 202, tie = 32, loss = 15
win = 202, tie = 32, loss = 16
win = 203, tie = 32, loss = 16
win = 204, tie = 32, loss = 16
win = 205, tie = 32, loss = 16
win = 206, tie = 32, loss = 16
win = 207, tie = 32, loss = 16
win = 208, tie = 32, loss = 16
win = 209, tie = 32, loss = 16
win = 210, tie = 32, loss = 16
win = 211, tie = 32, loss = 16
win = 212, tie = 32, loss = 16
win = 213, tie = 32, loss = 16
win = 214, tie = 32, loss = 16
win = 215, tie = 32, loss = 16
win = 216, tie = 32, loss = 16
win = 216, tie = 33, loss = 16
win = 217, tie = 33, loss = 16
win = 218, tie = 33, loss = 16
win = 218, tie = 34, loss = 16
win = 219, tie = 34, loss = 16
win = 220, tie = 34, loss = 16
win = 221, tie = 34, loss = 16
win = 222, tie = 34, loss = 16
win = 223, tie = 34, loss = 16
win = 223, tie = 35, loss = 16
win = 224, tie = 35, loss = 16
win = 224, tie = 36, loss = 16
win = 225, tie = 36, loss = 16
win = 225, tie = 37, loss = 16
win = 226, tie = 37, loss = 16
win = 227, tie = 37, loss = 16
win = 228, tie = 37, loss = 16
win = 229, tie = 37, loss = 16
win = 230, tie = 37, loss = 16
win = 231, tie = 37, loss = 16
win = 232, tie = 37, loss = 16
win = 233, tie = 37, loss = 16
win = 234, tie = 37, loss = 16
win = 234, tie = 38, loss = 16
win = 235, tie = 38, loss = 16
win = 236, tie = 38, loss = 16
win = 237, tie = 38, loss = 16
win = 238, tie = 38, loss = 16
win = 239, tie = 38, loss = 16
win = 240, tie = 38, loss = 16
win = 241, tie = 38, loss = 16
win = 242, tie = 38, loss = 16
win = 243, tie = 38, loss = 16
win = 244, tie = 38, loss = 16
win = 245, tie = 38, loss = 16
win = 245, tie = 39, loss = 16
win = 246, tie = 39, loss = 16
